Compound name,rA,rA',rad_diff,TF,Adis ,A'dis ,rot_angle,tilt_angle,QR+,QT,QAFEO,QJT2D,CD2D,R-barrier,polar_modes,Energy
CeTmO3/PrTmO3,1.196,1.179,0.017,0.382212325,0.074371663,0.06211336,24.60346246,14.97888261,2.14384,2.41705,0.28681,0.01795,0,64.185364,1.56554,-140.720668
CeYbO3/BiYbO3,1.196,1.24,0.044,0.380581797,0.083703143,0.094807726,20.58974163,19.05173767,1.33748,1.97751,0.23661,0.01518,0,49.23029,1.54349,-141.276456
CeYbO3/NdYbO3,1.196,1.163,0.033,0.389147902,0.034893924,0.0578941,19.57360927,14.51742602,2.07834,2.38614,0.61247,0.01542,0,62.465165,1.55119,-154.56579
CeYbO3/PrYbO3,1.196,1.179,0.017,0.382212325,0.052062255,0.080685837,15.63488507,17.45452014,1.89126,2.33497,0.14649,0.18108,0,60.210146,2.06357,-147.137128
CeYO3/BiYO3,1.196,1.24,0.044,0.380581797,0.031530654,0.044908835,18.11889286,17.74830834,1.92105,2.37167,0.48672,0.09151,0,61.969761,2.05055,-158.640406
DySbO3/ErSbO3,1.083,1.062,0.021,0.401925123,0.031958551,0.068006943,20.8025071,14.18751475,1.69826,2.27889,0.16923,0.0562,0,55.965305,2.13519,-138.002134
DySbO3/HoSbO3,1.083,1.072,0.011,0.397346131,0.022440517,0.5439872,12.16855607,13.72221134,1.4766,2.2066225,0.61818,0.04284,0,52.752087,2.03027,-147.531001
LaDyO3/BiDyO3,1.216,1.24,0.024,0.375121512,0.020310878,0.542890016,12.98677257,13.38626079,2.09294,2.39039,0.07064,0.09846,0,64.032633,2.09511,-146.855093
LaErO3/BiErO3,1.216,1.24,0.024,0.375121512,0.01427182,0.540518948,9.585786792,13.9178909,1.45737,2.19303,0.64048,0.08798,0,52.312019,2.36147,-160.33126
LaErO3/CeErO3,1.216,1.196,0.02,0.380493437,0.019355289,0.546598988,13.49319919,14.91243064,2.05716,2.37941,0.60846,0.10216,0,62.341454,2.10014,-137.595491
LaHoO3/BiHoO3,1.216,1.24,0.024,0.375121512,0.0188586,0.542069675,11.66160469,13.04705674,1.86113,2.30612,0.15673,0.10899,0,58.461675,2.10087,-144.417376
LaInO3/CeInO3,1.216,1.196,0.02,0.380493437,0.017888538,0.542435676,12.35418038,12.71702893,1.2129,1.7098,0.153625,0.04961,0,40.956275,1.83885,-153.871131
LaLuO3/BiLuO3,1.216,1.24,0.024,0.375121512,0.020114048,0.536707458,9.176797036,12.13734977,1.30388,1.92854,0.022,0.05158,0,46.773722,1.95248,-148.175205
LaLuO3/CeLuO3,1.216,1.196,0.02,0.380493437,0.022218131,0.541342625,12.08786721,13.4685947,1.36473,2.03888,0.05869,0.03849,0,50.03697,1.98057,-162.073454
LaLuO3/NdLuO3,1.216,1.163,0.053,0.394775493,0.026470697,0.54861156,13.66991138,14.1327154,1.56366,2.2428,0.11167,0.046665,0,54.677732,2.023125,-142.491697
LaLuO3/PrLuO3,1.216,1.179,0.037,0.387804312,0.024188995,0.547129071,12.50808474,14.23271632,1.42011,2.1267,0.80275,0.03054,0,51.060443,1.87025,-157.737139
LaSbO3/BiSbO3,1.216,1.24,0.024,0.375121512,0.020727239,0.545921892,12.47113075,14.08882135,0.8399,1.4016,1.16537,0.00593,0,32.46285,2.07243,-145.771819
LaSbO3/ErSbO3,1.216,1.062,0.154,0.440915671,0.023969923,0.541324087,11.31112192,13.18453481,1.25097,1.7978,0.65551,0.07588,0,42.26583,2.05444,-161.784554
LaSbO3/EuSbO3,1.216,1.12,0.096,0.413958059,0.019063211,0.544232656,13.92831694,14.95530457,1.2021,1.67844,1.41731,0.0053,0,40.432734,2.10649,-134.294095
LaSbO3/NdSbO3,1.216,1.163,0.053,0.394775493,0.020556156,0.543712703,11.64519807,13.53815782,1.1585,1.5937,0.35108,0.06669,0,38.742854,1.94512,-141.138908
LaSbO3/SmSbO3,1.216,1.132,0.084,0.408537923,0.023603318,0.55034267,14.11114433,14.90286527,1.1995,1.66044,0.43029,0.04243,0,40.268997,1.67411,-150.656341
LaSbO3/TmSbO3,1.216,1.052,0.164,0.445695115,0.02539266,0.548269873,13.48181235,14.96026976,1.25462,1.8444,0.37407,0.07583,0,43.277083,2.27508,-149.957425
LaSbO3/YbSbO3,1.216,1.042,0.174,0.450514521,0.020471475,0.547326423,13.47847951,15.50187279,1.2598,1.8596,0.27114,0.03648,0,43.675421,1.46462,-154.870277
LaScO3/EuScO3,1.216,1.12,0.096,0.413958059,0.023354438,0.546425398,12.9203207,13.67798088,1.1637,1.6085,0.71871,0.02326,0,39.524791,2.18603,-163.450458
